Id,Descripcion,Marca,Precio Publicado,CC,Promociones,Precio Por Litro,Observaciones,Total Pack,Precio por Lata
44,Cerveza rubia Andes IPA retornable 1 l. ,Andes,$ 163.2,1000.0,2do al 50% Mi CRF Max 12 unidades Combinable ANDES,$ 163.2,El precio es por Lata,No tiene Pack,$ 163.2
45,Cerveza negra Schneider 473 cc. ,Schneider,$ 100.0,473.0,No tiene promociones,$ 211.42,El precio es por Lata,No tiene Pack,$ 100.0
46,Cerveza blanca Amstel lager botella 1 l. ,Amstel,$ 113.33,1000.0,3x2 Max 12 unidades Iguales,$ 113.33,El precio es por Lata,No tiene Pack,$ 113.33
47,Cerveza negra Mecklenburger premium dunkel 500 cc. ,Mecklenburger,$ 114.0,500.0,No tiene promociones,$ 228.0,El precio es por Lata,No tiene Pack,$ 114.0
48,Cerveza rubia Miller 710 cc. ,Miller,$ 145.13,710.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 204.41,El precio es por Lata,No tiene Pack,$ 145.13
49,Cerveza negra bock Quilmes 473 cc. x 6 uni ,Quilmes,$ 446.9,473.0,No tiene promociones,$ 944.82,El precio es por Pack,6,$ 74.48
50,Cerveza rubia Grolsch retornable 925 cc. ,Grolsch,$ 180.0,925.0,3x2 Max 12 unidades Iguales,$ 194.59,El precio es por Lata,No tiene Pack,$ 180.0
51,Cerveza rubia ipa Imperial 1 l. ,Imperial,$ 187.5,1000.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 187.5,El precio es por Lata,No tiene Pack,$ 187.5
52,Cerveza rubia Patagonia bohemian 730 cc. ,Patagonia,$ 264.3,730.0,No tiene promociones,$ 362.05,El precio es por Lata,No tiene Pack,$ 264.3
53,Cerveza rubia Imperial Apa 473 cc. ,Imperial,$ 131.25,473.0,2do al 50% Mi CRF Max 12 unidades  Iguales,$ 277.48,El precio es por Lata,No tiene Pack,$ 131.25
54,Cerveza IPA Mecklenburger 500 cc. ,Mecklenburger,$ 129.0,500.0,No tiene promociones,$ 258.0,El precio es por Lata,No tiene Pack,$ 129.0
